AIR                 	空氣	 Block(0)
STONE               	石頭	 Block(1)
GRASS               	草	 Block(2)
DIRT                	沙子	 Block(3)
COBBLESTONE         	鵝卵石	 Block(4)
WOOD_PLANKS         	WOOD_PLANKS	 Block(5)
SAPLING             	樹苗	 Block(6)
BEDROCK             	基岩	 Block(7)
WATER_FLOWING       	WATER_FLOWING	 Block(8)
WATER_STATIONARY    	WATER_STATIONARY	 Block(9)
LAVA_FLOWING        	LAVA_FLOWING	 Block(10)
LAVA_STATIONARY     	LAVA_STATIONARY	 Block(11)
SAND                	砂	 Block(12)
GRAVEL              	碎石	 Block(13)
GOLD_ORE            	金礦	 Block(14)
IRON_ORE            	鐵礦	 Block(15)
COAL_ORE            	COAL_ORE	 Block(16)
WOOD                	木	 Block(17)
LEAVES              	樹葉	 Block(18)
GLASS               	玻璃	 Block(20)
LAPIS_LAZULI_ORE    	LAPIS_LAZULI_ORE	 Block(21)
LAPIS_LAZULI_BLOCK  	LAPIS_LAZULI_BLOCK	 Block(22)
SANDSTONE           	砂岩	 Block(24)
BED                 	床	 Block(26)
COBWEB              	蛛網	 Block(30)
GRASS_TALL          	GRASS_TALL	 Block(31)
WOOL                	羊毛	 Block(35)
FLOWER_YELLOW       	FLOWER_YELLOW	 Block(37)
FLOWER_CYAN         	FLOWER_CYAN	 Block(38)
MUSHROOM_BROWN      	MUSHROOM_BROWN	 Block(39)
MUSHROOM_RED        	MUSHROOM_RED	 Block(40)
GOLD_BLOCK          	GOLD_BLOCK	 Block(41)
IRON_BLOCK          	IRON_BLOCK	 Block(42)
STONE_SLAB_DOUBLE   	STONE_SLAB_DOUBLE	 Block(43)
STONE_SLAB          	STONE_SLAB	 Block(44)
BRICK_BLOCK         	BRICK_BLOCK	 Block(45)
TNT                 	TNT	 Block(46)
BOOKSHELF           	書架	 Block(47)
MOSS_STONE          	MOSS_STONE	 Block(48)
OBSIDIAN            	黑曜石	 Block(49)
TORCH               	火炬	 Block(50)
FIRE                	火	 Block(51)
STAIRS_WOOD         	STAIRS_WOOD	 Block(53)
CHEST               	胸部	 Block(54)
DIAMOND_ORE         	鑽石礦	 Block(56)
DIAMOND_BLOCK       	鑽石塊	 Block(57)
CRAFTING_TABLE      	CRAFTING_TABLE	 Block(58)
FARMLAND            	農田	 Block(60)
FURNACE_INACTIVE    	爐(不開)	 Block(61)
FURNACE_ACTIVE      	爐(開)	 Block(62)
DOOR_WOOD           	木門	 Block(64)
LADDER              	階梯	 Block(65)
STAIRS_COBBLESTONE  	STAIRS_COBBLESTONE	 Block(67)
DOOR_IRON           	DOOR_IRON	 Block(71)
REDSTONE_ORE        	REDSTONE_ORE	 Block(73)
SNOW                	雪	 Block(78)
ICE                 	冰	 Block(79)
SNOW_BLOCK          	SNOW_BLOCK	 Block(80)
CACTUS              	仙人掌	 Block(81)
CLAY                	粘土	 Block(82)
SUGAR_CANE          	甘蔗	 Block(83)
FENCE               	圍欄	 Block(85)
GLOWSTONE_BLOCK     	GLOWSTONE_BLOCK	 Block(89)
BEDROCK_INVISIBLE   	基岩(無形)	 Block(95)
STONE_BRICK         	石磚	 Block(98)
GLASS_PANE          	玻璃板	 Block(102)
MELON               	瓜	 Block(103)
FENCE_GATE          	福特門	 Block(107)
GLOWING_OBSIDIAN    	GLOWING 黑曜石	 Block(246)
NETHER_REACTOR_CORE 	反應堆核心	 Block(247)
